date,time,status,stand,no
2023-05-10,17:10,At gate 17:06,R18,MU 2089
2023-05-10,17:10,At gate 17:11,N34,PR 306
2023-05-10,17:15,At gate 17:20,N64,AA 8897
2023-05-10,17:15,At gate 17:15,N6,Z2 1264
2023-05-10,17:20,At gate 17:03,N145,UO 113
2023-05-10,17:30,At gate 17:30,N28,QF 4224
2023-05-10,17:35,At gate 17:06,N5,CA 6511
2023-05-10,17:40,At gate 17:39,S35,FM 809
2023-05-10,17:40,At gate 18:43,S43,WE 5638
2023-05-10,17:40,At gate 17:13,S29,3U 3959
2023-05-10,17:45,At gate 17:33,N62,AY 099
2023-05-10,17:45,At gate 18:20,W48,CX 254
2023-05-10,17:45,At gate 17:44,R15,HX 659
2023-05-10,17:50,At gate 18:50,S23,LY 8792
2023-05-10,17:50,At gate 17:59,N10,MF 8651
2023-05-10,18:00,At gate 17:39,R17,HU 8083
2023-05-10,18:00,At gate 17:53,S108,HB 541
2023-05-10,18:05,At gate 17:49,W44,QF 8224
2023-05-10,18:05,At gate 18:00,N60,EK 384
2023-05-10,18:10,At gate 18:23,N32,5J 112
2023-05-10,18:25,At gate 18:34,N30,HX 1831
2023-05-10,18:50,At gate 19:10,N34,VJ 876
2023-05-10,18:55,At gate 18:40,N24,CI 919
2023-05-10,18:55,At gate 18:22,W63,QR 5803
2023-05-10,18:55,At gate 18:43,N8,CX 831
2023-05-10,19:00,At gate 18:46,R14,UO 621
2023-05-10,19:00,At gate 18:52,N68,CX 5631
2023-05-10,19:05,At gate 18:49,N70,FM 3013
2023-05-10,19:05,At gate 19:05,N9,FD 524
2023-05-10,19:10,At gate 20:21,N10,AK 239
2023-05-10,19:15,At gate 20:37,W65,JL 7057
2023-05-10,19:20,At gate 19:30,S2,CX 819
2023-05-10,19:35,At gate 19:46,R18,HX 641
2023-05-10,19:35,At gate 19:42,S11,CX 6898
2023-05-10,19:45,At gate 21:12,S11,HU 8360
2023-05-10,19:45,At gate 19:23,R15,UO 115
2023-05-10,19:50,At gate 19:35,S104,HB 531
2023-05-10,19:55,At gate 20:05,S47,HX 693
2023-05-10,20:00,At gate 19:43,R17,AI 7161
2023-05-10,20:00,At gate 19:49,N7,QR 5843
2023-05-10,20:10,At gate 20:38,S31,CX 918
2023-05-10,20:10,At gate 19:51,R19,UO 899
2023-05-10,20:25,At gate 19:54,N36,BA 4574
2023-05-10,20:30,At gate 20:43,R16,HU 8210
2023-05-10,20:30,At gate 20:43,W46,CX 369
2023-05-10,20:35,At gate 20:16,S35,CA 6501
2023-05-10,20:35,At gate 20:26,R20,UO 639
2023-05-10,20:40,At gate 00:32 (11/05/2023),S1,AK 130
2023-05-10,20:45,At gate 20:49,S41,CX 473
2023-05-10,20:50,At gate 20:51,S3,CX 459
2023-05-10,20:50,At gate 21:23,N24,5J 114
2023-05-10,20:55,At gate 20:39,W42,TK 8875
2023-05-10,20:55,At gate 20:36,N66,QR 5815
2023-05-10,21:00,At gate 20:38,S43,JL 7061
2023-05-10,21:00,At gate 20:51,W122R,UO 691
2023-05-10,21:00,At gate 20:52,D306R,UO 871
2023-05-10,21:05,At gate 20:57,S111,CA 117
2023-05-10,21:05,At gate 21:05,N68,AA 8914
2023-05-10,21:20,At gate 21:08,S29,AA 8883
2023-05-10,21:25,At gate 21:02,N64,LX 9520
2023-05-10,21:30,At gate 21:28,W50,LA 5647
2023-05-10,21:30,At gate 21:25,N9,PG 4557
2023-05-10,21:30,At gate 22:09,S101,5J 120
2023-05-10,21:35,Cancelled,,PR 310
2023-05-10,21:35,At gate 21:33,N30,JU 8316
2023-05-10,21:45,At gate 21:41,N32,CI 921
2023-05-10,21:45,At gate 21:59,S1,LA 5645
2023-05-10,21:45,At gate 21:22,N5,JL 7067
2023-05-10,21:50,At gate 21:44,S23,HU 8362
2023-05-10,21:55,At gate 22:07,N70,CX 381
2023-05-10,21:55,At gate 22:01,N34,MH 9202
2023-05-10,21:55,At gate 21:51,S47,OM 5629
2023-05-10,22:00,At gate 21:55,N10,VN 3566
2023-05-10,22:00,At gate 22:00,N141,CX 979
2023-05-10,22:00,At gate 22:22,N62,TP 6360
2023-05-10,22:00,At gate 21:52,W67,HA 5381
2023-05-10,22:10,At gate 22:15,N6,AA 8907
2023-05-10,22:15,At gate 22:13,R21,HB 684
2023-05-10,22:30,At gate 22:53,S25,HX 1565
2023-05-10,22:30,At gate 22:27,N60,CX 991
2023-05-10,22:30,At gate 22:56,N24,EY 8503
2023-05-10,22:35,At gate 22:51,N28,CX 902
2023-05-10,22:55,At gate 22:41,N7,QR 3469
2023-05-10,23:00,At gate 23:19,N8,AA 8912
2023-05-10,23:05,At gate 23:12,S49,CX 479
2023-05-10,23:10,At gate 22:54,D306R,CX 5744
2023-05-10,23:15,At gate 22:59,R18,BR 2891
2023-05-10,23:15,At gate 23:04,N32,UO 647
2023-05-10,23:30,At gate 23:27,W71,CX 989
2023-05-10,23:30,At gate 23:56,S33,UO 703
2023-05-10,23:35,At gate 23:11,D304L,UO 117
2023-05-10,23:50,At gate 23:43,W61,SQ 898
2023-05-10,23:50,At gate 23:58,S107,HU 8191
2023-05-10,23:50,At gate 23:35,W126,UO 689
2023-05-10,23:55,At gate 23:57,N26,MM 067
